index,id,original_title,genres,keywords,cast,director,combine
0,19995,Avatar,Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron,Action Adventure Fantasy Science Fiction culture clash future space war space colony society Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle RodriguezJames Cameron
1,285,Pirates of the Caribbean: At World's End,Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski,Adventure Fantasy Action ocean drug abuse exotic island east india trading company love of one's life Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fatGore Verbinski
2,206647,Spectre,Action Adventure Crime,spy based on novel secret agent sequel mi6,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes,Action Adventure Crime spy based on novel secret agent sequel mi6 Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica BellucciSam Mendes
3,49026,The Dark Knight Rises,Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan,Action Crime Drama Thriller dc comics crime fighter terrorist secret identity burglar Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom HardyChristopher Nolan
4,49529,John Carter,Action Adventure Science Fiction,based on novel mars medallion space travel princess,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton,Action Adventure Science Fiction based on novel mars medallion space travel princess Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden ChurchAndrew Stanton
5,559,Spider-Man 3,Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi,Fantasy Action Adventure dual identity amnesia sandstorm love of one's life forgiveness Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher GraceSam Raimi
6,38757,Tangled,Animation Family,hostage magic horse fairy tale musical,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard,Animation Family hostage magic horse fairy tale musical Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. GaineyByron Howard
7,99861,Avengers: Age of Ultron,Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon,Action Adventure Science Fiction marvel comic sequel superhero based on comic book vision Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett JohanssonJoss Whedon
8,767,Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,witch magic broom school of witchcraft wizardry,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates,Adventure Fantasy Family witch magic broom school of witchcraft wizardry Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael GambonDavid Yates
9,209112,Batman v Superman: Dawn of Justice,Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder,Action Adventure Fantasy dc comics vigilante superhero based on comic book revenge Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse EisenbergZack Snyder
10,1452,Superman Returns,Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer,Adventure Fantasy Action Science Fiction saving the world dc comics invulnerability sequel superhero Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker PoseyBryan Singer
11,10764,Quantum of Solace,Adventure Action Thriller Crime,killing undercover secret agent british secret service,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster,Adventure Action Thriller Crime killing undercover secret agent british secret service Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo GianniniMarc Forster
12,58,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,witch fortune teller bondage exotic island monster,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski,Adventure Fantasy Action witch fortune teller bondage exotic island monster Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill NighyGore Verbinski
13,57201,The Lone Ranger,Action Adventure Western,texas horse survivor texas ranger partner,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski,Action Adventure Western texas horse survivor texas ranger partner Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge DaleGore Verbinski
14,49521,Man of Steel,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder,Action Adventure Fantasy Science Fiction saving the world dc comics superhero based on comic book superhuman Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane LaneZack Snyder
15,2454,The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson,Adventure Family Fantasy based on novel fictional place brother sister relationship lion human being Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie HenleyAndrew Adamson
16,24428,The Avengers,Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon,Science Fiction Action Adventure new york shield marvel comic superhero based on comic book Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett JohanssonJoss Whedon
